Recipient organization,Requirements US$,Funding US$,Pledges US$,Coverage %,Country
ACF - Spain,14737362,0,0,0.0,Niger
Action pour le Développement du Sahel,629000,0,0,0.0,Niger
Adventist Development and Relief Agency,268773,0,0,0.0,Niger
Agency for Technical Cooperation and Development,1400000,1378579,0,98.5,Niger
CARE International,1292651,0,0,0.0,Niger
Comitato Internationale per lo Sviluppo dei Popoli,730000,0,0,0.0,Niger
Concern Worldwide,2536296,0,0,0.0,Niger
Cooperazione Internazionale - COOPI,1775552,0,0,0.0,Niger
Deutsche Welthungerhilfe e.V. (German Agro Action),2200000,0,0,0.0,Niger
Food & Agriculture Organization of the United Nations,5488000,2500000,0,45.6,Niger
GOAL,2830994,0,0,0.0,Niger
Helen Keller International,1106326,0,0,0.0,Niger
Help - Hilfe zur Selbsthilfe e.V.,800000,0,0,0.0,Niger
International Aid Services,550000,0,0,0.0,Niger
International Emergency and Development Aid,1050000,0,0,0.0,Niger
International Organization for Migration,5364928,1000001,0,18.6,Niger
International Rescue Committee,3416926,800427,0,23.4,Niger
Luxembourg Red Cross,569181,0,0,0.0,Niger
"Movimiento por la Paz, el Desarme y la Libertad",250000,0,0,0.0,Niger
OXFAM,2367199,0,0,0.0,Niger
Office for the Coordination of Humanitarian Affairs,3521248,0,0,0.0,Niger
Plan Niger,2495932,0,0,0.0,Niger
Qatar Red Crescent Society,1634787,0,0,0.0,Niger
SOS Children's Villages,167139,0,0,0.0,Niger
Samaritan's Purse,5110689,0,0,0.0,Niger
Save the Children,11902972,0,0,0.0,Niger
TEARFUND,2634175,0,0,0.0,Niger
UN Agencies,0,0,0,0.0,Niger
UN Women,2700000,0,0,0.0,Niger
United Nations Children's Fund,29096631,2478397,0,8.5,Niger
United Nations High Commissioner for Refugees,31329558,4458974,0,14.2,Niger
United Nations Population Fund,2594780,1000453,0,38.6,Niger
World Food Programme,118464418,72656198,0,61.3,Niger
World Health Organization,4268979,507002,0,11.9,Niger
World Vision Niger,6062500,0,0,0.0,Niger
ACF - France,6574030,0,0,0.0,Cameroon
ACT Alliance / Lutheran World Federation,782821,0,0,0.0,Cameroon
AIDER,963300,0,0,0.0,Cameroon
Action Locale pour un Développement Participatif et Autogéré,1120536,0,0,0.0,Cameroon
Adventist Development and Relief Agency,1870258,0,0,0.0,Cameroon
Afrique Solidarité - Suisse,2090845,0,0,0.0,Cameroon
Agence Humanitaire Africaine,2427702,0,0,0.0,Cameroon
Alliance for International Medical Action,2213348,0,0,0.0,Cameroon
Association Gainako Djamou du Sahel,253500,0,0,0.0,Cameroon
Association d'Assistance au Développement,393717,0,0,0.0,Cameroon
Association de Lutte contre les Violences faites aux Femmes (Antenne de l'Extrême-Nord),666805,0,0,0.0,Cameroon
CARE France,500000,0,0,0.0,Cameroon
CARE International,2014004,0,0,0.0,Cameroon
CARITAS,539815,0,0,0.0,Cameroon
Catholic Relief Services,3243048,0,0,0.0,Cameroon
Centre Optionnel Pour la Promotion et la Régénération Economique et Sociale Secteur Afrique,299100,0,0,0.0,Cameroon
Défense des Droits de l'Homme et des Consommateurs du Sahel,150000,0,0,0.0,Cameroon
Equal Access Cameroon,1261461,0,0,0.0,Cameroon
FAIRMED Foundation,665313,0,0,0.0,Cameroon
Femme Action et Développement en Centrafrique,1350237,0,0,0.0,Cameroon
Food & Agriculture Organization of the United Nations,4616736,400298,0,8.7,Cameroon
French Red Cross,4940210,0,0,0.0,Cameroon
International Emergency and Development Aid,205790,0,0,0.0,Cameroon
International Medical Corps,5137331,0,0,0.0,Cameroon
International Organization for Migration,4577460,450000,0,9.8,Cameroon
International Rescue Committee,8720699,0,0,0.0,Cameroon
Office for the Coordination of Humanitarian Affairs,2282573,0,0,0.0,Cameroon
Plan International,11582169,0,0,0.0,Cameroon
Première Urgence - Aide Médicale Internationale,7964444,0,0,0.0,Cameroon
Respect Cameroon,903447,0,0,0.0,Cameroon
Solidarités International,7451050,0,0,0.0,Cameroon
Solidarités d'Afrique,4209293,0,0,0.0,Cameroon
UN Agencies,0,4097691,0,0.0,Cameroon
UN Women,4500000,0,0,0.0,Cameroon
United Nations Children's Fund,20931205,850990,0,4.1,Cameroon
United Nations Department of Safety and Security,1131838,0,0,0.0,Cameroon
United Nations Development Programme,5590284,0,0,0.0,Cameroon
United Nations High Commissioner for Refugees,87838163,4066546,0,4.6,Cameroon
United Nations Joint Programme on HIV/AIDS,510000,0,0,0.0,Cameroon
United Nations Mine Action Service,300000,0,0,0.0,Cameroon
United Nations Population Fund,2118450,450810,0,21.3,Cameroon
World Food Programme,91996923,39746544,0,43.2,Cameroon
World Health Organization,2755307,1000183,0,36.3,Cameroon
ACT Alliance / Christian Aid UK,5826717,0,0,0.0,Nigeria
Action Contre la Faim,57265278,81466,0,0.1,Nigeria
ActionAid,1788077,0,0,0.0,Nigeria
Adventist Development and Relief Agency,2700000,0,0,0.0,Nigeria
Alliance for International Medical Action,4091164,0,0,0.0,Nigeria
American University of Nigeria,90523,0,0,0.0,Nigeria
Catholic Caritas Foundation of Nigeria,21585134,0,0,0.0,Nigeria
Catholic Relief Services,8078476,0,0,0.0,Nigeria
Civil Society Action Coalition on Education for All,2469057,0,0,0.0,Nigeria
Clear View Integrity Foundation,27500,0,0,0.0,Nigeria
Cooperazione Internazionale - COOPI,2740212,0,0,0.0,Nigeria
Danish Refugee Council,1067000,0,0,0.0,Nigeria
Disaster Waste Recovery,2540556,0,0,0.0,Nigeria
Food & Agriculture Organization of the United Nations,61962500,5171889,0,8.3,Nigeria
Hope and Rural Aid Foundation,750000,0,0,0.0,Nigeria
INTERSOS Humanitarian Aid Organization,9017050,0,0,0.0,Nigeria
International Center for Accelerated Development,1500000,0,0,0.0,Nigeria
"International Centre for Energy, Environment and Development",1909327,0,0,0.0,Nigeria
International Federation of Red Cross and Red Crescent Societies,678000,0,0,0.0,Nigeria
International Federation of Women Lawyers,1173296,0,0,0.0,Nigeria
International Medical Corps,3593042,0,0,0.0,Nigeria
International Organization for Migration,58000000,2500000,0,4.3,Nigeria
International Rescue Committee,25088669,461303,0,1.8,Nigeria
Mercy Corps,14649643,0,0,0.0,Nigeria
Mines Advisory Group,500000,0,0,0.0,Nigeria
Médecins du Monde,2336248,0,0,0.0,Nigeria
Norwegian Refugee Council,11759603,927835,0,7.9,Nigeria
Not specified,0,5317437,0,0.0,Nigeria
OXFAM,10540034,0,0,0.0,Nigeria
OXFAM Netherlands (NOVIB),7436775,0,0,0.0,Nigeria
Office for the Coordination of Humanitarian Affairs,8630834,10672,0,0.1,Nigeria
Office of the High Commissioner for Human Rights,560517,0,0,0.0,Nigeria
Peacefront for Development Initiative,390000,0,0,0.0,Nigeria
Plan International,1441234,0,0,0.0,Nigeria
Première Urgence Internationale,18656950,0,0,0.0,Nigeria
Riplington Education Initiative,980000,0,0,0.0,Nigeria
SOS Children's Villages,1065950,0,0,0.0,Nigeria
Save the Children,21923762,142653,0,0.7,Nigeria
Society for Water and Sanitation,147500,0,0,0.0,Nigeria
Solidarites-France,6000000,0,0,0.0,Nigeria
Street Child Organization,3769730,0,0,0.0,Nigeria
TEARFUND,522170,0,0,0.0,Nigeria
United Nations Children's Fund,143027901,20014287,0,14.0,Nigeria
United Nations Department of Safety and Security,4062828,0,0,0.0,Nigeria
United Nations Development Programme,20160946,28701,0,0.1,Nigeria
United Nations High Commissioner for Refugees,66641143,4344862,0,6.5,Nigeria
United Nations Human Settlements Programme (UN-HABITAT),3922466,0,0,0.0,Nigeria
United Nations Population Fund,21397003,1521116,0,7.1,Nigeria
Women in the New Nigeria and Youth Empowerment Initiative,80523,0,0,0.0,Nigeria
World Food Programme,368554155,12533833,0,3.4,Nigeria
World Health Organization,37170501,5350999,0,14.4,Nigeria
ZOA,4161500,1060445,0,25.5,Nigeria
ACF - France,12452472,0,0,0.0,Chad
"Action pour la Protection de la Santé, de l'Environnement et la Lutte contre la Pénurie Alimentaire",656584,0,0,0.0,Chad
Agence Humanitaire Africaine,5173254,0,0,0.0,Chad
Agency for Technical Cooperation and Development,5670532,0,0,0.0,Chad
Alliance for International Medical Action,2410706,0,0,0.0,Chad
Association des Jeunes Arc-en-ciel pour la Stabilité Sociale en Afrique,425538,0,0,0.0,Chad
Association des volontaire de lutte anti-mine,251750,0,0,0.0,Chad
CARE International,16156366,0,0,0.0,Chad
Catholic Relief Services,1407851,0,0,0.0,Chad
Centre d'Appui aux Initiatives de Développement Local,316900,0,0,0.0,Chad
Cercle Humanitaire d'Appui aux Initiatives Locales de Développement,1292919,0,0,0.0,Chad
Christian Outreach Relief and Development,1467857,0,0,0.0,Chad
Cooperazione Internazionale - COOPI,5553585,261506,0,4.7,Chad
Food & Agriculture Organization of the United Nations,26100600,0,0,0.0,Chad
French Red Cross,1935000,0,0,0.0,Chad
Halt Death Stalker,455640,0,0,0.0,Chad
Handicap International,320000,0,0,0.0,Chad
Help-Tchad,6350000,0,0,0.0,Chad
INTERSOS Humanitarian Aid Organization,572500,0,0,0.0,Chad
Initiative Humanitaire pour le Développement Local,886420,0,0,0.0,Chad
International Aid Services,800000,0,0,0.0,Chad
International Medical Corps UK,417870,0,0,0.0,Chad
International Organization for Migration,8239000,0,0,0.0,Chad
International Rescue Committee,1706381,0,0,0.0,Chad
Office for the Coordination of Humanitarian Affairs,5053721,10672,0,0.2,Chad
Oxfam Intermon,33301480,0,0,0.0,Chad
Première Urgence - Aide Médicale Internationale,5629693,0,0,0.0,Chad
Secours Islamique France,1064650,0,0,0.0,Chad
TEARFUND,1351209,0,0,0.0,Chad
United Nations Children's Fund,57274208,0,0,0.0,Chad
United Nations High Commissioner for Refugees,162845308,2124552,0,1.3,Chad
United Nations Humanitarian Air Service,15329264,0,0,0.0,Chad
United Nations Population Fund,7231152,0,0,0.0,Chad
World Food Programme,178993698,0,0,0.0,Chad
World Health Organization,12296055,0,0,0.0,Chad
World Vision Chad,7218100,0,0,0.0,Chad
